date,open,high,low,close,volume,hold,settle
2019-10-21,3839.4,3858.8,3829.2,3853.6,539,522,0.0
2019-10-22,3868.8,3876.0,3835.0,3863.6,479,715,0.0
2019-10-23,3863.6,3870.0,3826.8,3841.0,221,731,0.0
2019-10-24,3848.6,3864.8,3826.0,3852.0,300,816,0.0
2019-10-25,3845.4,3885.0,3822.0,3885.0,271,838,0.0
2019-10-28,3886.8,3916.0,3884.0,3909.2,301,935,0.0
2019-10-29,3914.2,3914.2,3891.2,3891.2,191,966,0.0
2019-10-30,3885.4,3891.0,3855.0,3861.4,316,1042,0.0
2019-10-31,3871.8,3877.2,3848.0,3859.0,605,1451,0.0
2019-11-01,3853.2,3947.6,3845.6,3942.0,1397,2172,0.0
2019-11-04,3954.6,3964.0,3943.2,3956.4,546,2121,0.0
2019-11-05,3962.4,4020.2,3952.2,3978.8,584,2146,0.0
2019-11-06,3981.0,3985.4,3950.6,3960.4,637,2299,0.0
2019-11-07,3957.0,3989.2,3950.0,3964.6,786,2336,0.0
2019-11-08,3982.8,3998.6,3949.0,3949.0,606,2471,0.0
2019-11-11,3930.2,3930.2,3874.6,3882.4,678,2520,0.0
2019-11-12,3896.4,3899.2,3852.2,3868.4,712,2646,0.0
2019-11-13,3865.6,3874.6,3851.4,3868.8,392,2578,0.0
2019-11-14,3875.0,3885.0,3862.2,3868.8,584,2803,0.0
2019-11-15,3878.6,3888.0,3847.2,3851.4,568,2915,0.0
2019-11-18,3858.8,3892.0,3843.0,3881.6,742,3098,0.0
2019-11-19,3874.6,3933.8,3874.6,3932.0,1138,3416,0.0
2019-11-20,3925.2,3926.4,3879.0,3887.0,786,3484,0.0
2019-11-21,3872.2,3887.0,3853.2,3869.8,821,3624,0.0
2019-11-22,3880.2,3906.8,3805.0,3813.2,1764,3855,0.0
2019-11-25,3826.2,3852.8,3819.0,3845.2,621,3798,0.0
2019-11-26,3866.0,3871.2,3837.6,3852.6,912,3686,0.0
2019-11-27,3851.2,3872.4,3832.0,3857.4,539,3564,0.0
2019-11-28,3850.6,3870.0,3836.8,3848.8,811,3778,0.0
2019-11-29,3843.4,3850.0,3790.2,3808.6,1162,4080,0.0
2019-12-02,3825.8,3837.0,3810.2,3819.8,996,4021,0.0
2019-12-03,3813.4,3838.0,3796.2,3838.0,737,4053,0.0
2019-12-04,3830.8,3838.0,3811.0,3836.0,1317,4698,0.0
2019-12-05,3841.0,3875.0,3841.0,3867.0,1387,4813,0.0
2019-12-06,3867.8,3899.0,3866.8,3898.4,1805,5785,0.0
2019-12-09,3899.6,3908.4,3884.0,3893.4,1672,5836,0.0
2019-12-10,3883.2,3906.2,3883.2,3898.4,1797,6546,0.0
2019-12-11,3907.8,3907.8,3882.6,3898.0,1599,6812,0.0
2019-12-12,3906.6,3906.6,3885.8,3887.6,1007,6910,0.0
2019-12-13,3923.8,3979.8,3923.0,3975.2,2481,7738,0.0
2019-12-16,3973.4,3989.8,3960.2,3985.0,2067,8042,0.0
2019-12-17,3987.8,4088.6,3984.4,4058.2,3695,9287,0.0
2019-12-18,4057.2,4081.0,4046.6,4053.2,2997,9951,0.0
2019-12-19,4053.8,4067.2,4040.2,4051.8,2896,10928,0.0
2019-12-20,4060.0,4076.0,4044.8,4044.8,2309,11071,0.0
2019-12-23,4050.0,4062.6,3978.0,3980.8,3510,11624,0.0
2019-12-24,3988.6,4013.0,3983.6,4004.6,2363,11260,0.0
2019-12-25,4001.0,4017.2,3990.0,4010.2,2348,11718,0.0
2019-12-26,4009.4,4041.0,4006.6,4039.0,2644,11948,0.0
2019-12-27,4045.8,4091.8,4034.0,4036.0,4252,12912,0.0
2019-12-30,4031.0,4116.6,4023.8,4106.8,4298,13300,0.0
2019-12-31,4103.4,4125.6,4089.2,4123.0,3419,14050,0.0
2020-01-02,4142.2,4209.0,4142.2,4179.6,4219,14645,0.0
2020-01-03,4192.8,4196.0,4163.4,4167.2,3132,15017,0.0
2020-01-06,4150.0,4204.0,4121.8,4150.0,5003,16140,0.0
2020-01-07,4163.8,4191.2,4158.6,4175.6,3644,15824,0.0
2020-01-08,4151.0,4173.6,4116.8,4133.6,4895,16934,0.0
2020-01-09,4160.8,4184.0,4153.2,4170.2,4236,16442,0.0
2020-01-10,4184.0,4190.0,4161.0,4173.6,2697,16529,0.0
2020-01-13,4178.6,4221.0,4158.0,4218.8,3852,17147,0.0
2020-01-14,4226.4,4243.2,4206.0,4210.6,3277,17239,0.0
2020-01-15,4211.6,4214.4,4168.8,4177.2,3110,17810,0.0
2020-01-16,4190.4,4190.4,4159.2,4171.6,3082,18469,0.0
2020-01-17,4180.6,4197.6,4161.8,4174.0,3267,18907,0.0
2020-01-20,4187.8,4208.8,4171.0,4205.8,4383,19001,0.0
2020-01-21,4181.8,4185.0,4120.0,4125.0,6592,19984,0.0
2020-01-22,4105.2,4157.0,4052.2,4142.0,6805,20688,0.0
2020-01-23,4108.6,4108.6,3961.4,3989.8,8579,21615,0.0
2020-02-03,3613.0,3730.0,3589.2,3589.2,13500,21355,0.0
2020-02-04,3637.2,3772.6,3637.2,3754.0,10382,22283,0.0
2020-02-05,3775.8,3837.6,3753.8,3791.0,9722,23085,0.0
2020-02-06,3815.0,3906.6,3784.8,3889.0,9432,23462,0.0
2020-02-07,3860.0,3890.8,3844.6,3888.4,7684,23496,0.0
2020-02-10,3858.0,3903.8,3855.2,3880.0,8597,23599,0.0
2020-02-11,3920.0,3936.8,3897.0,3917.4,7875,22868,0.0
2020-02-12,3916.0,3948.0,3907.0,3947.4,6993,22639,0.0
2020-02-13,3945.4,3968.8,3921.6,3930.2,6811,21894,0.0
2020-02-14,3929.4,3979.8,3926.2,3967.0,6898,22989,0.0
2020-02-17,3978.8,4079.0,3977.8,4079.0,9849,23740,0.0
2020-02-18,4065.8,4073.2,4020.2,4034.0,9279,24758,0.0
